"#",,,"Connection",,"Students","Total"
" "," "," "," ","→","←","↔"
"1","Paris","–","Madrid","395","362","757"
"2","Paris","–","London","263","221","484"
"3","Madrid","–","Rome","241","213","454"
"4","Paris","–","Berlin","234","157","391"
"5","Milan","–","Madrid","223","147","370"
"6","Rome","–","Paris","233","125","358"
"7","Madrid","–","Lisbon","167","121","288"
"8","Milan","–","Paris","193","84","277"
"9","Madrid","–","Brussels","142","123","265"
"10","Barcelona","–","Paris","160","104","264"
"11","Milan","–","Barcelona","140","123","263"
"12","Istanbul","–","Paris","145","107","252"
"13","Milan","–","Lisbon","140","97","237"
"14","Paris","–","Dublin","144","70","214"
"15","Rome","–","Barcelona","114","100","214"
"16","Vienna","–","Paris","142","69","211"
"17","Istanbul","–","Berlin","105","100","205"
"18","Madrid","–","Munich","120","85","205"
"19","London","–","Madrid","102","100","202"
"20","Lisbon","–","Barcelona","124","78","202"